 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1134839,201312,1801-2400,ZZZ.Airport,US,,,,1500,,IMC,Icing,,Night,,,TRACON ZZZ,Air Carrier,PA-31 Navajo/Chieftan/Mojave/T1040,,1,Part 121,,Passenger,,Initial Approach,,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Distraction; Confusion; Situational Awareness,,,1134839,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter CFTT / CFIT,,,Person Flight Crew,Routine Inspection,Aircraft Aircraft Damaged; Flight Crew Took Evasive Action; Flight Crew Landed in Emergency Condition; Flight Crew Executed Go Around / Missed Approach; Flight Crew Diverted; General Maintenance Action; General Declared Emergency,Chart Or Publication; Environment - Non Weather Related; Human Factors,Ambiguous,"The flight departed on a canned flight plan and climbed up to 8;000 FT and was doing 115-125 over the ground. On the enroute portion of the flight the weather at my destination dropped to 1-3/4 SM and 500 overcast. I was cleared for the approach. Once inside the TAA for the approach I descended according to the TAA. I crossed over Initial Approach fix and started a descent down to 2;200 FT at the first waypoint and 1;500 FT at the next point. Upon crossing the second waypoint I broke out and saw a tree I maneuvered the plane to the right because the tree was on the left in hopes of avoiding it. As a turned the airplane I pushed all of my levers forward and started a climbout on the missed approach. Once I had started a climb I put the gear and flaps up. Once I reached a safe altitude I assessed the airplane by first looking at my engines gauges and they were both reading normal. Secondly I looked outside the airplane to see if there was any damage done to the left side and the only thing I saw was the left oil door had opened up. Lastly I looked at my fuel gauges and they were both still reading sufficient of a tank on the mains and on the outboards. With this information I contacted Center and told them I would like to head direct to a nearby major airport. It was the safest opinion because the weather was higher there; fire and rescue was there. I climbed up to 9;000 FT and proceeded direct to my divert airport. Once I checked on with Approach I declared an emergency as a precaution. Approach asked me how many souls and fuel I had remaining. I had 5 people onboard including myself and 1hr and 45 minutes of fuel remaining. Approach asked if I would like the ILS to Runway XXL and I said yes. I flew the approach broke out; landed and taxied back to the Company's ramp.I missed read the approach plate and was low on the approach due to it.",,,,"A PA-31 pilot collided with a tree at a remote airport after he misread the RNAV GPS Approach plate and descended to minimums nearly 3 miles from the airport. A go-around was executed; an emergency declared and the flight diverted to a nearby airport.",
1134959,201312,1801-2400,ZZZ.Airport,US,,,,,,VMC,10,,Night,7500,,Tower ZZZ,Air Taxi,Shorts SD-360,,2,Part 135,IFR,Cargo / Freight / Delivery,Localizer/Glideslope/ILS Runway 30L,Landing,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Indicating and Warning - Landing Gear,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Flight Instructor,Flight Crew Last 90 Days 80; Flight Crew Total 2600; Flight Crew Type 1250,,Troubleshooting; Human-Machine Interface,,,1134959,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; General Maintenance Action; General Evacuated; General Declared Emergency,Aircraft,Aircraft,"I was serving as Pilot in Command aboard a Shorts 360-300; along with my First Officer. We were flying into a major Class B Airport in the early evening and First Officer was flying the aircraft at the time. Weather at our destination airport was VFR and we were cleared for the ILS 30. In accordance to our SOP's I began running the Approach Checklist. When the landing gear selector was placed in the down position; the right main gear light illuminated red instead of its normal green color. Upon discovery of the gear unsafe condition we informed ATC of our problem and asked for delayed vectors so we could trouble shoot our problem and run the Appropriate Checklist. I then decided to declare an emergency. While the First Officer was flying the aircraft I completed the Emergency Checklist and was unable to resolve the issue. I then took the controls from First Officer and flew the aircraft while First Officer double checked my execution of the checklist procedures. We then came back around on a low approach to Runway 30L so that the emergency ground crews and Control Tower personnel could visually inspect our gear as we flew by. After completing the low approach all Ground and Tower personnel had stated that the gear looked to be down. We then asked ATC for further vectors so we could verify the checklist was indeed completed correctly and informed them we would be making a full stop landing. Every time the Emergency Checklist had been reviewed it was determined that all items were performed correctly even though we could not get the landing gear down and locked. Since all the checklist items were completed and no change in our situation had occurred I felt our best option was to make a full stop landing due to its runway length and availability of emergency personnel. I was vectored around to the ILS 30L and performed a full stop landing left of centerline in order to keep the aircraft on the runway in case a right main gear collapse occurred. Upon touch down the all three landing gear held the weight of the aircraft for approximately five seconds. After that time the right main landing gear collapsed. Upon collapse of the right main landing gear I instructed the First Officer to shut down both engines and we both evacuated the aircraft safely.",,,,"An SD-360-300 had a right main landing gear unsafe indication when the gear were lowered; so an emergency was declared; a Tower fly by confirmed gear down; but after landing and stopping on the runway the right gear collapsed.",
1134985,201311,1801-2400,ZZZ.Airport,US,,,0,,,VMC,10,,Night,CLR,,CTAF ZZZ,Personal,PA-46 Malibu/Malibu Mirage/Malibu Matrix,,1,Part 91,IFR,Personal,,Takeoff / Launch,None,,,,,,,,,,,,,,,,,,,,,,,,,Main Gear Tire,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 46; Flight Crew Total 6815; Flight Crew Type 2872,,Training / Qualification; Situational Awareness,,,1134985,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Ground Event / Encounter Other / Unknown; Ground Excursion Runway; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Rejected Takeoff,Aircraft; Human Factors,Ambiguous,"Upon rotation [I] heard a thump; thump; thump noise. [I] aborted [the] takeoff. The plane touched back down on [the] runway; but due to speed and the right tire having blown; the aircraft was uncontrollable and made a right turn exiting the runway. The ground around the runway was very uneven due to recent construction caused by heavy truck tire divots. I brought the plane to a halt by pulling the fuel lever; stopping the engine; and braking action. The aircraft came to a rest about 300 feet from the runway. No injuries occurred and only damage to aircraft was minor to right main gear and right aileron. One of the three hinges broke and bent the aileron; cracking it. Pilot did not do a proper weight and balance prior to the flight and a post incident weight and balance showed the aircraft marginally overweight.",,,,"PA46 pilot experiences tire failure at rotation speed and elects to reject the takeoff after becoming airborne. Directional control is lost and the aircraft departs the runway causing some damage.",
1135815,201309,1201-1800,ZZZ.Airport,US,,,0,,,VMC,20,,Daylight,12000,,,Personal,Aeronca Champion,,1,Part 91,None,Training,,Landing,Visual Approach,,N,,Y,,,,,,,,,,,,,,,,,,,,,Tail Wheel,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 10; Flight Crew Total 1760; Flight Crew Type 2.4,,Training / Qualification,,,1135815,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Object; Ground Excursion Runway; Inflight Event / Encounter Object,,N,Person Flight Crew,Other On Landing,Aircraft Aircraft Damaged,Aircraft; Human Factors,Aircraft,"I was completing a training flight for insurance coverage having previously obtaining a tailwheel endorsement in different make and model. Pilot and instructor were returning from the airport where the proficiency training was conducted. I flew a normal approach to airport and Runway 16. Wind approximately 140 at 5 KTS. Three point touchdown with a bounce; recovered straight ahead. Aircraft veered left; and then over-correction resulted in veer to the right. Aircraft exited right side of runway at slow speed. Aircraft impacted the side of a culvert damaging landing gear; aircraft belly; and propeller. No injuries to either occupant. Inspection of the tailwheel showed that both tailwheel springs missing. Inspection of the runway [had] located one spring at the approximate location of the initial touchdown. The second spring was found several days later in roughly the same area. Neither spring; nor the spring attachment clips; nor the rudder horn was damaged. The springs came off due to excessive slack and large gap on the spring attach hook. The slow speed made the rudder ineffective for directional control. Loss of tailwheel steering left the brakes as the only directional control. There was insufficient time and space due to narrow runway and adjacent drainage culverts for braking action to bring the aircraft under control. Aggravating the situation was the upward runway slope in the touchdown zone; narrower than standard runway; and the culvert close to the runway edge.  The proper investigation would be to determine if the tailwheel springs were the correct parts for the installed tailwheel and if the resulting combination was properly rigged to resist shimmy and the risk of spring rejection.",,,,"Pilot reports both tailwheel springs had separated from an Aeronica-7AC aircraft on landing as he was completing a training flight. The missing springs caused the aircraft to veer left than right; exit the narrow runway; impacting a culvert; damaging landing gear; aircraft belly; and propeller; no injuries to occupants.",
1136181,201312,1801-2400,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Trailing Edge Flap,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,First Officer,,,,Human-Machine Interface,,,1136181,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,Pre-flight,Aircraft Aircraft Damaged; General Maintenance Action,Weather; Company Policy; Aircraft; Human Factors,Ambiguous,"Inbound aircraft arrived at gate during snowfall. Inbound crew left flaps at 15. The Captain performed the walk around including a flap well inspection. I arrived at aircraft as Captain entered Jet Bridge. He was followed by the fueler who asked if he could fuel the aircraft with the flaps down. Captain informed me that he had inspected the flap areas and observed no contamination.  He decided to send me outside to clear the flap area while he raised the flaps. After I gave the Captain the all clear he raised the flaps. I observed no anomalies during flap retraction. The time from the Captain completing the exterior inspection until the flaps were raised was less than five minutes. We taxied to remote de-icing pad with flaps up. De-iced with type 1 and anti-iced with type 4. We then taxied to the runway with flaps retracted and set flaps to 15 just prior to takeoff. Taxi from de-ice pad to active runway was accomplished on surfaces that were treated and plowed. Runway was not contaminated. We performed a Flaps 15; 26K max power takeoff.  Flight was uneventful. All flap limit speeds were observed. A 30 flap landing was accomplished at destination.  After landing the flaps were retracted with no abnormal cockpit indications. As we were scheduled to keep this airplane; I began an exterior preflight inspection. I noticed that both inboard trailing edge flaps appeared partially extended while other flaps and slats were retracted. I informed the Captain and Maintenance. Once Maintenance arrived they had us fully lower the flaps and then discovered damage.  I am confident that we complied with all appropriate procedures. I do not know what caused this event; therefore I am unable to give a clear suggestion.  At a minimum we should review procedures to see if there is anything we should change regarding snow/ice operations.",,,,"B737-800 First Officer reports discovering inboard TE flap damage during preflight after bringing the aircraft in from a snow and ice impacted airport. The aircraft had been received at that airport with the flaps extended and were inspected prior to retraction at the gate. No anomalies were noted in flight.",
1136257,201312,1201-1800,ZZZ.Airport,US,,,0,,,VMC,10,,Daylight,,,CTAF ZZZ,Other Flight School/ CAE OAA,DA20 Undifferentiated,,1,Part 91,VFR,Training,,Taxi,Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Other Flight School/ CAE OAA,Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 38.6; Flight Crew Total 114.7; Flight Crew Type 97.3,,Human-Machine Interface; Confusion,,,1136257,,,,,,,,,,,,Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Object; Ground Excursion Taxiway,,N,Person Flight Crew,Taxi,Aircraft Aircraft Damaged,Human Factors,Human Factors,"After landing; while turning into Taxiway 'C' from the runway; the airplane was left of the taxiway centerline so I [needed] to use right rudder but panicked and accidently pressed left rudder which took me off the taxiway into a dirt area. I tried not to hit a taxiway light so; in order to stop the plane; I used the parking brake and lost all directional control. The propeller struck the runway exit sign; knocking it over and breaking aircraft's propeller.",,,,"A private pilot aboard a DA-20 lost control while exiting the runway after landing and struck a runway sign with the propeller; breaking it.",
1136840,201312,1801-2400,ZZZ.Airport,US,,,0,,,VMC,,,Night,,,,Air Carrier,B737-300,,2,Part 121,IFR,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal Stabilizer,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,,Flight Crew Last 90 Days 225,,Confusion; Troubleshooting,,,1136840,Aircraft X,Flight Deck,Air Carrier,First Officer,,Flight Crew Last 90 Days 199,,Situational Awareness; Confusion,,,1136845,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,,Person Ground Personnel,Aircraft In Service At Gate,Aircraft Aircraft Damaged; General Maintenance Action,Procedure; Human Factors,Ambiguous,"Prior to departure; was notified by the ramp that there was damage to the right hand horizontal stabilizer. After I looked at it; Dispatch and Maintenance Control were notified and a logbook entry was made. I can only assume the damage happened on the ground because the First Officer noticed no discrepancies on his walk-around when we first picked the aircraft up. After Contract Maintenance inspected the aircraft; it was determined that the aircraft could only be ferried. We changed planes and continued to (city). If the aircraft was in fact damaged by ground equipment; the Ground Ops people should have notified us immediately of the damage.",,"Aircraft horizontal stabilizer damage noted by Ramper prior to pushback. I performed a walk-around prior to departure and noted no damage to horizontal stab.",,"A Ramp Operations person discovered a damaged B737-700 horizontal stabilizer prior to push back but the First Officer noted no damage during his walkaround so the aircraft was grounded for a ferry flight.",
1139022,201312,1801-2400,,,,,,36000,,VMC,,,Night,,,Center ZZZ,Air Carrier,Regional Jet 700 ER/LR (CRJ700),,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Cockpit Window,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Other / Unknown; Situational Awareness,,,1139022,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed As Precaution; Flight Crew Diverted,Human Factors; Aircraft,Aircraft,"In cruise at FL360 we heard a loud bang and noted that the right windshield had shattered. Per the QRH we raised the cabin altitude and began a descent to FL280 in order to reach a cabin deferential of 6.2 PSI or less. The QRH also stated that with a core ply layer shattered (which is what we believed we had) to reduce speed to 205 knots.  An ACARS message was sent to both Maintenance and our Dispatcher.  With the QRH guidance in mind we felt the best course of action was to divert.  An ACARS message was sent to our Dispatcher suggesting ZZZ; which looking at our MFD was the closest and best option.  Our Dispatcher agreed and we advised ATC that we were diverting.  At about 5;000 feet on our approach we received an ACARS message from Maintenance asking which layer was shattered.  All we could offer was that we could not feel it on the inside.  At about 2;000 - 3;000 feet we received an ACARS from our Dispatcher that Maintenance said continue to destination.  We advised that we were on the approach to ZZZ and committed to landing.  Dispatcher agreed and we landed.  Landing was made overweight at 68;500 LBS. utilizing my emergency authority (although no formal emergency declared with ATC) per the FOM.  Write ups for both the windshield and overweight landing were enter into the AFDL.  Given the QRH guidance for airspeed and lower differential we would not have felt comfortable continuing to destination as suggested by Maintenance. One threat was the unknown state of the right windshield and determining exactly which layer was indeed shattered.  An additional threat was that it took us a few minutes to locate the QRH procedure as it was not associated with any EICAS messages.  Also; we did not receive a prompt reply from Maintenance although I would not have felt comfortable continuing given the QRH restrictions.  ACARS itself can also be a threat in that it takes a bit of time to have a conversation with Dispatch/Maintenance. We did try to call on the radio as well; but were unsuccessful. The only other thing I will address has to do with ACARS.  When we receive messages from Dispatch/Maintenance; we have a [way to acknowledge] so that they know we have received their message.  It would be nice if we had some way of at least knowing that someone has read our message to them.  I know they are busy and in many cases looking at multiple sources of information before they respond; but just a simple [acknowledgment] would at least let us know it has been read and they are working on it.  Also; the repetitive 'SELCAL' audio calls can be distracting while trying to manage ATC; the QRH; and preparing for an unplanned alternate.",,,,"CRJ-700 Captain experiences a shattered right windshield at FL360. The aircraft is descended and the cabin differential is reduced to 6.2 PSI per QRH. The aircraft is slowed to 205 knots and the crew elects to divert to the nearest suitable airport.",
1139263,201312,1801-2400,ZZZ.Airport,US,,,0,,,VMC,,,Night,,,Tower ZZZ,Personal,M-20 M Bravo,,1,Part 91,IFR,Personal,,Landing,Direct,,,,,,,,,,,,,,,,,,,,,,,,,Gear Extend/Retract Mechanism,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Commercial; Flight Crew Multiengine,Flight Crew Last 90 Days 138.1; Flight Crew Total 1280; Flight Crew Type 109.1,,Human-Machine Interface; Distraction,,,1139263,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Gear Up Landing,,,Person Flight Crew,Other Impact of prop with runway,Aircraft Aircraft Damaged,Human Factors; Procedure; Aircraft,Human Factors,"I was asked to keep my base for Runway 17 within a mile and keep the speed up because of an MD-80 on a nine mile final. I kept 140K until a one mile left base; and upon reaching 1;100 feet; I reduced the power to 12 inches of manifold and used the speed brakes to slow down. Below 140K I put the gear handle down; felt the gear move; and went to finish the rest of my before landing checklist. After I put the flaps down. I was around 1;000 feet from the numbers and I had 4 whites on the PAPI; so I reduced power to idle. There was no audible gear warning horn. I quickly ran a GUMPS check; and I believed the airplane was configured. Smoothly entering ground effect; I allowed it to make contact with the runway and heard a metallic sound. Soon after; the propeller stopped and the aircraft came to a stop on the runway. The only thing I could think of was the MD80 on short final so I prompted them to go around. After securing the airplane; the gear handle was down but the gear actuator circuit breaker was out.Contributing factors are the fact the plane had been in maintenance for four weeks; the landing was night time; and I was asked to keep it fast and close to the runway. I feel if I had rejected the clearance and extended downwind behind the MD80 I would [have] had more time to notice the gear was not fully down. Although the checklist was completed; I had a detection error of not noticing the gear was not fully down; due to the time constraint from configuring to landing. Night time also made it a factor as I could not physically see the circuit breaker had popped out. The fact that the gear warning horn did not sound; further contributed to the error.",,,,"Expediting his arrival to help sequence a following MD80 landing the pilot of an M20-M failed to note his landing gear had failed to extend completely and landed gear up and disabled on the runway. The pilot made a transmission to the MD-80 advising of the predicament.",
1139517,201312,1201-1800,ZZZ.Airport,US,,,0,,,,,,Daylight,,,,Personal,Cessna 310/T310C,,,Part 91,,,,Parked,,,N,Y,Y,,,Installation; Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Personal,Technician,Maintenance Airframe; Maintenance Powerplant; Maintenance Inspection Authority,Maintenance Inspector 28; Maintenance Technician 33,,Time Pressure; Distraction; Situational Awareness; Communication Breakdown,Party1 Maintenance; Party2 Maintenance,,1139517,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Other / Unknown,,N,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed,Human Factors; Procedure,Human Factors,"During troubleshooting of the cabin heater; located in the Nose Wheel Well (NWW); both Nose Landing Gear (NLG) doors were disconnected to gain access to the heater and components. One Mechanic was working on the heater; I was working on the Right engine. We were trying to get the aircraft back to service so the owner could use it for the holidays. It was on a weekend and we finally finished up the job late in the day. The other mechanics had left; only myself and an assistant were still at work. I pulled the aircraft out of the hangar for a post maintenance run-up; and to return it to the customer's hangar. I then returned to the Maintenance Hangar and completed the paperwork and log entries. It was getting late; and past time to go home. I notified the customer that the aircraft was ready. The aircraft flew a few days later in December and the landing gear would not retract properly. The landing gear was selected 'Down' and would not downlock. Two other attempts were made to extend the gear and it finally downlocked. A routine landing was made with no incident. There was some damage to the nose landing gear doors. I believe one section of the job was not completed due to the Mechanic being pulled off to another job. I trusted the Mechanic to do his job; and did not catch the disconnected doors as I pulled the aircraft out of the hangar. To keep this from happening; an orange streamer should have been attached to the nose gear door actuator arms to call attention to the doors; with the mechanic's name on it; to be removed only by that mechanic.",,,,"An Aircraft Maintenance Technician (AMT) reports a Cessna 310 aircraft returned to field after the Nose Landing Gear (NLG) would not retract. He failed to notice that both NLG door actuator arms had not been reconnected by another Mechanic who had been working on a cabin heater located in the NLG wheel well.",
1140776,201401,0001-0600,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B737-800,,2,Part 121,,Ferry / Re-Positioning,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Galley Furnishing,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface,,,1140776,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; General Maintenance Action,Human Factors,Human Factors,"I was assigned a ferry flight to reposition an aircraft with no one else to be on the aircraft besides myself and the Captain. I arrived at the aircraft approximately 10 minutes prior to the Captain and began my preflight duties. When the Captain arrived we had a discussion regarding the special procedures to be completed during a ferry flight; specifically the inspection of the cabin and galleys for loose items and the arming of the escape slides on the L1 and R1 doors. The Captain took it upon himself to inspect the cabin while I completed the cockpit setup. I noticed that the Captain spent several minutes in the forward and aft galleys checking on all of the galley carts. Prior to departure; an operations manager boarded the aircraft and confirmed with us that the galley carts would remain on board for the flight. After all of the exterior doors were closed; I armed the emergency slides on the L1 and R1 doors. After closing the cockpit door and locking it; we pushed back from the gate and departed. After an uneventful climb; cruise; and descent; we were cleared for a visual approach. The Captain was the flying pilot and I was the pilot monitoring. We configured the aircraft for landing (Flaps 30) and the Captain maintained a speed of 130 KIAS to touchdown. The Captain was hand flying the aircraft with no automation activated. The autobrakes were NOT selected prior to landing. The landing was a 'greaser' with the aircraft touching down smoothly. The speedbrakes deployed automatically and the Captain deployed the thrust reversers. As the Captain began to apply the brakes manually; we heard a loud crashing noise. I briefly looked back to find that the lower panel in the cockpit door had been breached. The area around the panel was cracked and appeared to be bent. Through the open portion of the panel I could see a gallery cart that was partially on its side. I refocused my attention forward and observed that the aircraft was at approximately 100 KIAS and slowing. The Captain remained focused on controlling the aircraft and slowed the aircraft to taxi speed. We exited the runway and taxied to the gate. After parking the aircraft and completing the Shutdown checklist; we found that the cockpit door would not open normally due to the damage. I crawled through the open lower panel of the cockpit door and had to step over a galley cart that was leaning on its side wedged into the entry way. I moved the galley cart out of the way and attempted to open the door from the outside and was unable to. I disarmed the L1 and R1 doors and opened the L1 door. A Mechanic arrived shortly and was able to dislodge the cockpit door so the Captain could exit. I inspected the aircraft and came to the conclusion that the cart had come from the rear galley and had traveled the entire length of the aircraft. All of the forward galley carts were still secured and in place. There was no other damage to the aircraft besides the cockpit door area. Neither myself or the Captain were injured during the incident. After debriefing the incident; the Captain and I were a little confused as to the cause of this incident given the thorough preflight. I marked 'Insufficient Attention to Detail' as a primary cause because I could have backed the Captain up and checked the galley carts as well.",,,,"B737 First Officer on a ferry flight reports a loose galley cart on landing crashing through the cockpit door. The Captain had done the galley preflight prior to departure.",
1141205,201401,0001-0600,ZZZ.Airport,US,,,0,,,VMC,,,,,,,Air Carrier,A320,,2,Part 121,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Trailing Edge Flap,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,First Officer; Pilot Not Flying,,Flight Crew Last 90 Days 130; Flight Crew Total 11000; Flight Crew Type 8900,,Communication Breakdown,Party1 Maintenance; Party2 Ground Personnel,,1141205,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Maintenance,Aircraft In Service At Gate,Aircraft Aircraft Damaged; General Maintenance Action,Human Factors; Procedure,Human Factors,"Contract Maintenance was in cockpit [neither] unsupervised nor observed by any crew member. We were both in operations flight planning return leg. Disregarding normal safety practices; Contract Maintenance did not ensure flight controls were safe to move prior to actuating. Consequently; aircraft was seriously damaged and refueling personnel nearly injured when contract maintenance moved flap lever with fuel truck connected.",,,,"A320 First Officer reports flap damage caused by Contract Maintenance when the flaps are extended at the gate with a fuel truck parked under the wing.",
